x_m,y_m,w_tr_right_m,w_tr_left_m
-0.452373,8.764329,0.847569,1.20002
-0.425106,8.807127,0.847375,1.194305
-0.398257,8.849246,0.849218,1.188183
-0.371496,8.891227,0.84446,1.189007
-0.344833,8.933049,0.839095,1.206
-0.31821,8.974432,0.833119,1.21605
-0.290923,9.015436,0.824204,1.222105
-0.262688,9.055224,0.81792,1.226
-0.233142,9.093289,0.815873,1.233033
-0.201175,9.130787,0.818233,1.227007
-0.167815,9.167122,0.819705,1.21901
-0.134051,9.203461,0.825119,1.213106
-0.100274,9.239815,0.82238,1.215002
-0.066716,9.275933,0.822294,1.202724
-0.03319,9.312017,0.818147,1.222445
0.000442,9.348215,0.811626,1.22701
0.034405,9.384764,0.807213,1.236214
0.068759,9.421177,0.799966,1.250032
0.104265,9.456711,0.792846,1.255335
0.140918,9.490484,0.789697,1.25292
0.179157,9.52282,0.788173,1.251002
0.219317,9.554082,0.79237,1.24502
0.260264,9.58417,0.79545,1.238747
0.301541,9.614283,0.799856,1.230342
0.342254,9.643984,0.798537,1.238079
0.382398,9.673269,0.795825,1.243049
0.422356,9.702419,0.790358,1.24509
0.462628,9.731798,0.78892,1.249078
0.503226,9.761414,0.783301,1.255383
0.543916,9.791098,0.77836,1.260381
0.584453,9.820644,0.770092,1.271004
0.625104,9.849562,0.753936,1.84301
0.666902,9.876996,0.753302,1.846286
0.710401,9.902772,0.754724,1.847017
0.75479,9.926401,0.75324,1.825783
0.800981,9.948261,0.828,1.819265
0.847605,9.967513,1.312299,1.825133
0.894563,9.984615,1.319911,1.817407
0.941442,10.000816,1.325405,1.805337
0.995711,10.019538,1.330009,1.799248
1.034903,10.033058,1.331491,1.803284
1.081513,10.049137,1.334305,1.804231
1.128025,10.065182,1.329531,1.802014
1.174026,10.08101,1.325416,1.803134
1.220316,10.096123,1.325956,1.81004
1.267662,10.109615,1.327295,1.966037
1.316159,10.121148,1.325097,1.971634
1.366189,10.131132,1.511027,1.949236
1.416366,10.139687,1.522358,1.923219
1.465747,10.147859,1.527378,1.945096
1.51509,10.156025,1.538,1.922059
1.564838,10.164258,1.52618,1.918138
1.614576,10.17249,1.532274,1.910321
1.664535,10.180758,1.531334,1.921115
1.714346,10.189001,1.527055,1.911004
1.763408,10.197108,1.511551,1.925273
1.813217,10.204774,1.511303,1.931037
1.863088,10.210682,1.496557,1.937013
1.911592,10.214167,1.487619,1.943006
1.963475,10.215273,1.498192,1.939928
2.016393,10.213703,1.511259,1.918067
2.067287,10.21076,1.526342,1.911235
2.117951,10.207734,1.539828,1.911514
2.168536,10.204712,1.543444,1.906944
2.219016,10.201697,1.540021,1.842284
2.269504,10.198681,1.537012,1.898254
2.31925,10.195709,1.53722,1.899643
2.368309,10.192777,1.540603,1.690925
2.417489,10.189714,1.53352,1.703445
2.467255,10.186035,1.528652,1.647377
2.516623,10.181236,1.531785,1.527249
2.565954,10.174917,1.531742,1.435557
2.614967,10.167138,1.523814,1.370275
2.663184,10.158111,1.344028,1.349834
2.712324,10.148135,1.199497,1.321386
2.76129,10.138153,1.051069,1.295432
2.810008,10.128221,0.957535,1.274757
2.858462,10.118344,0.911048,1.258167
2.906579,10.108535,0.898929,1.242212
2.954285,10.098809,0.86889,1.22391
3.002293,10.089022,0.845419,1.221311
3.050204,10.079255,0.828647,1.219428
3.097957,10.06952,0.813497,1.221059
3.145679,10.059625,0.799985,1.229104
3.193221,10.048643,0.796353,1.240058
3.24129,10.035535,0.800405,1.244006
3.28945,10.020283,0.800999,1.240131
3.337548,10.003131,0.813325,1.234068
3.385764,9.984208,0.816104,1.229229
3.43374,9.964221,0.821514,1.223132
3.481093,9.944206,0.825242,1.21902
3.528222,9.924285,0.822001,1.217033
3.575452,9.904322,0.823321,1.200375
3.622236,9.884547,0.820664,1.220368
3.668791,9.864869,0.813138,1.226015
3.715123,9.845285,0.81169,1.23601
3.761132,9.825838,0.802432,1.242316
3.807095,9.806318,0.796053,1.246
3.852858,9.78591,0.790196,1.25901
3.904551,9.760111,0.789483,1.265
3.94168,9.739382,0.786875,1.25901
3.984713,9.714342,0.789763,1.251058
4.02697,9.68972,0.789917,1.250212
4.069302,9.665053,0.782704,1.251194
4.1116,9.640407,0.781156,1.260006
4.153826,9.615803,0.775202,1.266004
4.195967,9.591243,0.766462,1.274004
4.237851,9.566341,0.754767,1.287
4.279008,9.540092,0.752469,1.294
4.319777,9.511382,0.744478,1.28701
4.359137,9.480445,0.752086,1.278157
4.397418,9.446891,0.755749,1.272057
4.434061,9.411389,0.767941,1.262006
4.469635,9.374895,0.773662,1.253313
4.504869,9.338594,0.78761,1.24386
4.540285,9.302104,0.792182,1.243401
4.575631,9.265687,0.792352,1.24202
4.610716,9.229539,0.790435,1.242103
4.645846,9.193344,0.790583,1.244005
4.680354,9.157692,0.787175,1.246002
4.713989,9.121592,0.78703,1.246103
4.746012,9.084055,0.7854,1.249078
4.776235,9.044643,0.790059,1.239221
4.804702,9.003282,0.80001,1.231234
4.831003,8.96098,0.810272,1.221003
4.856448,8.918206,0.825155,1.20863
4.881548,8.875969,0.833086,1.20028
4.906979,8.833174,0.843002,1.197183
4.932402,8.790393,0.8471,1.183147
4.958145,8.747071,0.849009,1.184308
4.984341,8.702989,0.853132,1.167124
5.010106,8.659633,0.854037,1.156775
5.035776,8.616434,0.854071,1.176155
5.061819,8.57261,0.854567,1.167015
5.087713,8.529035,0.852712,1.182507
5.113612,8.485453,0.848722,1.186027
5.139395,8.442065,0.847986,1.171749
5.164709,8.399468,0.846021,1.190758
5.190037,8.356846,0.84061,1.191635
5.215615,8.313803,0.841193,1.20415
5.241018,8.271055,0.837054,1.208536
5.26634,8.228161,0.830889,1.213026
5.290538,8.18498,0.820208,1.22301
5.312889,8.140358,0.817223,1.23102
5.333516,8.093468,0.816927,1.22908
5.352466,8.046337,0.819912,1.219447
5.371161,7.999162,0.825073,1.213007
5.389623,7.952576,0.825049,1.218
5.407882,7.906499,0.821283,1.219118
5.425991,7.860803,0.811321,1.23002
5.444378,7.814403,0.809905,1.236214
5.462799,7.767913,0.800252,1.237233
5.480947,7.721161,0.799203,1.246049
5.49787,7.673804,1.007,1.259057
5.512797,7.626248,1.339287,1.262006
5.525748,7.577584,1.335872,1.26
5.536453,7.528252,1.338519,1.257019
5.544991,7.478862,1.340171,1.24825
5.552933,7.428815,1.342721,1.242116
5.560803,7.379159,1.344102,1.240002
5.568503,7.330572,1.340839,1.245006
5.576116,7.282535,1.339123,1.249463
5.58386,7.233669,1.335313,1.25116
5.591594,7.184718,1.335222,1.259635
5.598905,7.13506,1.333273,1.27201
5.604574,7.086127,1.335014,1.277
5.60822,7.037262,1.493592,1.277088
5.60991,6.980248,1.499147,1.273157
5.609429,6.938457,1.498147,1.265025
5.606958,6.888949,1.49164,1.26299
5.602613,6.83933,1.486323,1.254383
5.597324,6.789752,1.487847,1.244293
5.592124,6.741462,1.48784,1.241364
5.586945,6.693377,1.480228,1.242218
5.581662,6.644313,1.491003,1.239177
5.576401,6.595462,1.493003,1.240002
5.570331,6.539097,1.496033,1.242851
5.565821,6.497224,1.495108,1.243
5.560239,6.448374,1.491322,1.249048
5.553132,6.399245,1.493591,1.251
5.542056,6.341837,1.483284,1.249032
5.53216,6.300449,1.498,1.24558
5.518321,6.251385,1.502016,1.230163
5.502434,6.202965,1.514001,1.227499
5.484764,6.155547,1.43742,1.214975
5.46608,6.108184,1.283661,1.206238
5.447226,6.06048,1.201789,1.198968
5.428706,6.013622,1.139154,1.193457
5.410106,5.966561,1.050181,1.189192
5.39153,5.919561,0.973152,1.18542
5.373348,5.87356,0.948958,1.17543
5.354861,5.826895,0.926539,1.147654
5.335727,5.779986,0.913652,1.177204
5.315648,5.733736,0.885051,1.17336
5.293926,5.687782,0.872495,1.16342
5.270751,5.642838,0.870587,1.164871
5.246234,5.598803,0.879055,1.157415
5.220375,5.555232,0.871588,1.144044
5.194186,5.51186,0.883005,1.140527
5.168384,5.469128,0.893005,1.135414
5.142653,5.426513,0.900009,1.131539
5.117362,5.384629,0.899142,1.127
5.092481,5.343422,0.9012,1.128348
5.067299,5.301717,0.900503,1.130708
5.042159,5.260081,0.897983,1.055445
5.017177,5.218707,0.897027,1.019003
4.991867,5.176791,0.895001,1.001657
4.966483,5.134944,0.89282,0.992639
4.940273,5.0933,0.888455,0.976911
4.911999,5.051543,0.880733,0.963348
4.881679,5.01061,0.881111,0.945804
4.848956,4.970254,1.594326,0.925679
4.814224,4.930968,1.603308,0.908273
4.778366,4.893017,1.61515,0.902273
4.742201,4.85558,1.627546,0.894181
4.705584,4.817686,1.630011,0.909178
4.669552,4.780398,1.634139,1.639244
4.633564,4.743154,1.633191,1.755382
4.597873,4.706195,1.633052,1.74201
4.563176,4.670239,1.632864,1.70569
4.528067,4.633857,1.63524,1.74204
4.492801,4.597313,1.627463,1.628446
4.457708,4.56125,1.621766,1.617124
4.421671,4.525829,1.619186,1.750689
4.384646,4.492048,1.615074,1.661878
4.346543,4.459772,1.616386,1.751756
4.307121,4.428383,1.614751,1.810478
4.266994,4.398496,1.621242,1.745477
4.22619,4.369709,1.629737,1.824263
4.185186,4.340975,1.637396,1.759246
4.144986,4.312805,1.634634,1.695232
4.10522,4.284939,1.62237,1.771169
4.064867,4.256661,1.625778,1.712851
4.024713,4.228523,1.593872,1.723096
3.984865,4.200599,1.581358,1.754277
3.944788,4.172515,1.548005,1.719169
3.905098,4.144702,1.529824,1.729289
3.865493,4.116949,1.51077,1.724349
3.825233,4.088736,1.488242,1.624473
3.784833,4.060426,1.468082,1.618919
3.74448,4.032382,1.445241,1.487881
3.703103,4.005075,1.428785,1.429353
3.662906,3.980839,1.417974,1.403108
3.617382,3.956433,1.410711,1.376928
3.572617,3.935445,1.401863,1.349828
3.527525,3.916919,1.408107,1.319049
3.482231,3.90044,1.286723,1.293788
3.436577,3.884438,1.097561,1.262693
3.391419,3.868611,0.994224,1.241135
3.346632,3.852915,0.963748,1.223919
3.300709,3.83682,0.938282,1.2063
3.254718,3.820702,0.92517,1.189299
3.20882,3.804616,0.899502,1.180191
3.162314,3.788317,0.889396,1.181848
3.116173,3.772146,0.86768,1.177245
3.070004,3.755966,0.855249,1.185051
3.022904,3.739472,0.83992,1.190011
2.968388,3.721134,0.832274,1.20502
2.927251,3.708836,0.829569,1.21401
2.878062,3.69645,0.833847,1.217069
2.82887,3.686635,0.832779,1.212004
2.778841,3.679266,0.836932,1.204004
2.728422,3.67442,0.840517,1.194637
2.678107,3.672014,0.848021,1.181135
2.627543,3.671047,0.857189,1.178141
2.577209,3.670372,0.868014,1.163007
2.528422,3.669718,0.869787,1.159816
2.480139,3.66907,0.871062,1.159649
2.430922,3.66841,0.874082,1.138343
2.382082,3.667755,0.873212,1.154408
2.333324,3.667104,0.871021,1.154001
2.283811,3.666776,0.873,1.157529
2.234964,3.66776,0.871064,1.160002
2.185619,3.670656,0.87023,1.15531
2.135659,3.675652,0.873028,1.156419
2.085502,3.682684,0.87566,1.14442
2.035233,3.691689,0.887111,1.135233
1.985533,3.702228,0.894349,1.119543
1.929348,3.715063,0.908317,1.113562
1.887942,3.724574,0.917123,1.108609
1.838824,3.735857,0.917092,1.104283
1.790472,3.746963,0.923139,1.094925
1.741726,3.758161,0.928013,1.086994
1.692998,3.769354,0.930105,1.094625
1.64524,3.780324,0.929874,1.090413
1.596408,3.791541,0.927485,1.095183
1.549661,3.802279,0.92866,1.094333
